context_id	context_name	context_kind	disease_context	anatomical_context	species	injury_model	injury_level	injury_severity	sex	timepoint_value	timepoint_unit	perturbation	treatment	experimental_condition	study_perturbation_status	injury_distance	injury_distance_unit	sample_scope	sample_count	cell_type	sample_id	study_id	tissue	context_status	provenance_note
sci:protein:e928eebbb074d9f0	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C1200	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C1200	Zeb2os perturbation	1200	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C1200 relative to lesion epicenter (1200 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__C1200;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:c375bf999b994547	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C400	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C400	Zeb2os perturbation	400	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C400 relative to lesion epicenter (400 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__C400;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:76550e43beed8a48	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C800	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance C800	Zeb2os perturbation	800	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	C800 relative to lesion epicenter (800 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__C800;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:b8cd58e7dd6b90fa	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance Epi	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance Epi	Zeb2os perturbation	0	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	Epi relative to lesion epicenter (0 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__Epi;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:12cf9780a6a9a01d	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R1200	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R1200	Zeb2os perturbation	-1200	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R1200 relative to lesion epicenter (-1200 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__R1200;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:02c827dfc20b422d	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R400	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R400	Zeb2os perturbation	-400	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R400 relative to lesion epicenter (-400 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__R400;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:d31badf33e7998ce	FLOW_MSCS_ITDB_000010 protein context at 17 day	sample_context	spinal_cord_injury	spinal_cord	mouse	moderate T9 contusive spinal cord injury using an Infinite Horizons Impactor	T9	60 kdyn moderate contusion		17	day	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R800	Zeb2os perturbation	Moderate contusive SCI; Zeb2os KD; AAV-transduced region; distance R800	Zeb2os perturbation	-800	µm	mixed_cell_population		unassigned or bulk sample		FLOW_MSCS_ITDB_000010	R800 relative to lesion epicenter (-800 µm)	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_MSCS_ITDB_000010;study_timepoints.timepoint_id=FLOW_MSCS_ITDB_000010__TP_17D__PSTAT3__ZEB2OS_KD__R800;cell_populations.population_id=FLOW_MSCS_ITDB_000010_UNASSIGNED_POPULATION;study_title=Systematic analysis of purified astrocytes after SCI unveils Zeb2os function during astrogliosis;context_curation={""curation_id"":""SCICTX-CUR-0002"",""curation_note"":""Primary source reports adult C57BL/6J mice with a moderate 60-kdyn T9 contusion injury; tissue was collected at 7 days, 1 month, and 3 months, and Zeb2os knockdown was delivered at 17 dpi. Sex remains unreported in this override because the inspected source text does not establish it for all imported observations."",""source_locator"":""PMCID: PMC7920574; STAR Methods sections \""Experimental model and subject details\"" and \""Surgery procedures\"""",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC7920574/""}"
sci:protein:93e724c45605ce92	FLOW_SCI_030 protein context at 1 day	sample_context	spinal_cord_injury	spinal_cord	mouse	acute thoracic compression SCI using bilateral aneurysm clip	T6-T7	24 g clip compression for 1 minute	male	1	day	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained			whole_tissue	6	spinal cord tissue homogenate		FLOW_SCI_030	injury-region spinal cord homogenate	defined	mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_SCI_030;study_timepoints.timepoint_id=FLOW_SCI_030__T1;cell_populations.population_id=FLOW_SCI_030__P1;study_title=HSP70 alleviates spinal cord injury by activating the NF-kB pathway
sci:protein:9241fb22bd7b035a	FLOW_SCI_030 protein context at 3 day	sample_context	spinal_cord_injury	spinal_cord	mouse	acute thoracic compression SCI using bilateral aneurysm clip	T6-T7	24 g clip compression for 1 minute	male	3	day	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained	SCI	HSP70 and/or p65 lentiviral overexpression in separate mechanistic cohorts; untreated SCI time-course cohort retained			whole_tissue	6	spinal cord tissue homogenate		FLOW_SCI_030	injury-region spinal cord homogenate	defined	mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_SCI_030;study_timepoints.timepoint_id=FLOW_SCI_030__T3;cell_populations.population_id=FLOW_SCI_030__P1;study_title=HSP70 alleviates spinal cord injury by activating the NF-kB pathway
sci:protein:eeab8a2c2e33b383	FLOW_SCI_071 protein context at 1 day	sample_context	spinal_cord_injury	spinal_cord	mouse	L1/L2 moderate spinal cord crush injury using Dumont forceps	L1/L2	0.4 mm residual closure; 10-second bilateral lateral compression	unknown	1	day	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter			cell_population		GFAP-Cre reporter-positive astrocytes		FLOW_SCI_071	lesion_epicenter	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_SCI_071;study_timepoints.timepoint_id=FLOW_SCI_071__T1;cell_populations.population_id=FLOW_SCI_071__P1;study_title=STAT3 is a Critical Regulator of Astrogliosis and Scar Formation after Spinal Cord Injury;context_curation={""curation_id"":""SCICTX-CUR-0012"",""curation_note"":""Primary source reports laminectomy at a single vertebra and moderate crush SCI at L1/L2 using No. 5 Dumont forceps ground to a 0.4-mm tip width, modified to leave a 0.4-mm space at maximal closure, with 10-second bilateral lateral compression. Age is not added beyond adult; sex is not specified in the inspected injury methods."",""source_locator"":""PMCID: PMC2583788; Methods \""Surgical procedures\"" and \""Overall design of in vivo experiments\""; Figs. 7, 10, and 12"",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2583788/""}"
sci:protein:38cb10e629c8a794	FLOW_SCI_071 protein context at 2 day	sample_context	spinal_cord_injury	spinal_cord	mouse	L1/L2 moderate spinal cord crush injury using Dumont forceps	L1/L2	0.4 mm residual closure; 10-second bilateral lateral compression	unknown	2	day	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter	SCI	astrocyte-specific STAT3 conditional knockout and GFAP-Cre reporter			cell_population		GFAP-Cre reporter-positive astrocytes		FLOW_SCI_071	peri_lesion	defined	"mSCS/data/flow_protein/flow_protein.sqlite;studies.study_id=FLOW_SCI_071;study_timepoints.timepoint_id=FLOW_SCI_071__T2;cell_populations.population_id=FLOW_SCI_071__P1;study_title=STAT3 is a Critical Regulator of Astrogliosis and Scar Formation after Spinal Cord Injury;context_curation={""curation_id"":""SCICTX-CUR-0012"",""curation_note"":""Primary source reports laminectomy at a single vertebra and moderate crush SCI at L1/L2 using No. 5 Dumont forceps ground to a 0.4-mm tip width, modified to leave a 0.4-mm space at maximal closure, with 10-second bilateral lateral compression. Age is not added beyond adult; sex is not specified in the inspected injury methods."",""source_locator"":""PMCID: PMC2583788; Methods \""Surgical procedures\"" and \""Overall design of in vivo experiments\""; Figs. 7, 10, and 12"",""source_url"":""https://pmc.ncbi.nlm.nih.gov/articles/PMC2583788/""}"
